company_code,company_name,issue_name,report_year,avg_verifiability_score,record_count
601128,常熟银行,绿色信贷/绿色金融,2021,1.0,2
601128,常熟银行,绿色信贷/绿色金融,2022,4.0,1
601128,常熟银行,绿色信贷/绿色金融,2023,1.0,2
601128,常熟银行,绿色信贷/绿色金融,2024,0.0,2
601128,常熟银行,绿色信贷/绿色金融,2025,3.0,1
601166,兴业银行,公司治理/风险管理,2021,4.0,3
601166,兴业银行,公司治理/风险管理,2022,5.0,3
601166,兴业银行,公司治理/风险管理,2023,5.0,3
601166,兴业银行,公司治理/风险管理,2024,5.0,3
601166,兴业银行,公司治理/风险管理,2025,5.0,3
601166,兴业银行,员工权益,2021,4.0,1
601166,兴业银行,员工权益,2022,5.0,1
601166,兴业银行,员工权益,2023,5.0,1
601166,兴业银行,员工权益,2024,5.0,1
601166,兴业银行,员工权益,2025,5.0,1
601166,兴业银行,普惠金融,2021,4.0,1
601166,兴业银行,普惠金融,2022,5.0,1
601166,兴业银行,普惠金融,2023,5.0,1
601166,兴业银行,普惠金融,2024,5.0,1
601166,兴业银行,普惠金融,2025,5.0,1
601166,兴业银行,消费者权益保护,2021,4.0,1
601166,兴业银行,消费者权益保护,2022,5.0,1
601166,兴业银行,消费者权益保护,2023,5.0,1
601166,兴业银行,消费者权益保护,2024,5.0,1
601166,兴业银行,消费者权益保护,2025,5.0,1
601166,兴业银行,绿色信贷/绿色金融,2021,4.0,1
601166,兴业银行,绿色信贷/绿色金融,2022,5.0,1
601166,兴业银行,绿色信贷/绿色金融,2023,5.0,1
601166,兴业银行,绿色信贷/绿色金融,2024,5.0,1
601166,兴业银行,绿色信贷/绿色金融,2025,5.0,1
601169,北京银行,公司治理/风险管理,2021,1.6,5
601169,北京银行,公司治理/风险管理,2022,3.0,3
601169,北京银行,公司治理/风险管理,2023,4.0,3
601169,北京银行,公司治理/风险管理,2024,3.0,3
601169,北京银行,公司治理/风险管理,2025,4.0,3
601169,北京银行,员工权益,2021,2.0,1
601169,北京银行,员工权益,2022,3.0,1
601169,北京银行,员工权益,2023,4.0,1
601169,北京银行,员工权益,2024,3.0,1
601169,北京银行,员工权益,2025,4.0,1
601169,北京银行,普惠金融,2021,2.0,1
601169,北京银行,普惠金融,2022,3.0,1
