stock_code,stock_name,announcement_title,publish_date,pdf_url,source,error_message
600926,杭州银行,杭州银行2022年度<em>社会</em><em>责任</em><em>报告</em>,2023-04-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600926&announcementId=1216586604&orgId=9900006251&announcementTime=2023-04-26,akshare_cninfo,
600926,杭州银行,杭州银行2023年度<em>社会</em><em>责任</em><em>报告</em>,2024-04-20,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600926&announcementId=1219702551&orgId=9900006251&announcementTime=2024-04-20,akshare_cninfo,
600926,杭州银行,杭州银行2024年度<em>可持续</em><em>发展</em><em>报告</em>,2025-04-12,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600926&announcementId=1223072723&orgId=9900006251&announcementTime=2025-04-12,akshare_cninfo,
600926,杭州银行,杭州银行2025年度<em>可持续</em><em>发展</em><em>报告</em>,2026-04-23,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600926&announcementId=1225157186&orgId=9900006251&announcementTime=2026-04-23,akshare_cninfo,
601169,北京银行,北京银行2021年<em>社会</em><em>责任</em><em>报告</em>,2022-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601169&announcementId=1213270798&orgId=9900003642&announcementTime=2022-04-30,akshare_cninfo,
601169,北京银行,北京银行2022年<em>社会</em><em>责任</em>暨ESG<em>报告</em>,2023-04-08,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601169&announcementId=1216358080&orgId=9900003642&announcementTime=2023-04-08,akshare_cninfo,
601169,北京银行,北京银行股份有限公司2023年<em>社会</em><em>责任</em>暨ESG<em>报告</em>,2024-04-12,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601169&announcementId=1219583298&orgId=9900003642&announcementTime=2024-04-12,akshare_cninfo,
601169,北京银行,北京银行股份有限公司2024年<em>社会</em><em>责任</em>暨ESG<em>报告</em>,2025-04-15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601169&announcementId=1223096753&orgId=9900003642&announcementTime=2025-04-15,akshare_cninfo,
601169,北京银行,北京银行股份有限公司2021年环境、社会和治理（<em>ESG</em>）专题<em>报告</em>,2022-08-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601169&announcementId=1214474230&orgId=9900003642&announcementTime=2022-08-31,akshare_cninfo,
601169,北京银行,北京银行股份有限公司2025年<em>可持续</em><em>发展</em><em>报告</em>,2026-04-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601169&announcementId=1225217665&orgId=9900003642&announcementTime=2026-04-28,akshare_cninfo,
601838,成都银行,成都银行股份有限公司2021年度<em>社会</em><em>责任</em><em>报告</em>,2022-04-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601838&announcementId=1213177276&orgId=9900021318&announcementTime=2022-04-28,akshare_cninfo,
601838,成都银行,成都银行2022年度<em>社会</em><em>责任</em><em>报告</em>,2023-04-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601838&announcementId=1216595303&orgId=9900021318&announcementTime=2023-04-26,akshare_cninfo,
601838,成都银行,成都银行股份有限公司2023年度<em>社会</em><em>责任</em><em>报告</em>,2024-04-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601838&announcementId=1219797258&orgId=9900021318&announcementTime=2024-04-25,akshare_cninfo,
